star_name,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,eirp_5sigma_W,rms_mJy,star_snr,ctrl_max_snr,n_ctrl_ge_star,n_ctrl,p_star_empirical,drift_max_Hz_s,on_source_s,resolution_class,nearest_line,line_offset_MHz,flagged_symmetric
HD53143  Gaia DR3 5479222240596469632,,A002_X10a341d_X82d2,18.34,229.60123,231.44205,976562.5,1841796875.0,2.843e+15,14.47,4.198,5.534,295,512,0.577,2766.3,2509.9,,,,0
HD53143  Gaia DR3 5479222240596469632,6,A002_X10a341d_X82d2,18.34,216.3937,214.56558,15625000.0,1843750000.0,8.448e+15,2.687,3.098,3.941,81,512,0.15984,2585.8,2509.9,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",SiO(5-4),-1086.297,0
HD53143  Gaia DR3 5479222240596469632,6,A002_X10a341d_X82d2,18.34,218.3937,216.56558,15625000.0,1843750000.0,8.488e+15,2.7,2.793,4.621,255,512,0.49903,2609.8,2509.9,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",H2CO,-359.547,0
HD53143  Gaia DR3 5479222240596469632,6,A002_X10a341d_X82d2,18.34,229.60123,231.44205,976562.5,1841796875.0,2.843e+15,14.47,4.198,5.534,295,512,0.577,2766.3,2509.9,fine (<1 MHz),CO(2-1),-857.672,0
HD53143  Gaia DR3 5479222240596469632,6,A002_X10a341d_X82d2,18.34,231.56557,233.3937,15625000.0,1843750000.0,8.972e+15,2.854,3.059,4.654,119,512,0.23392,2789.8,2509.9,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),2152.574,0
Wolf  219,6,A002_Xb25e1a_Xed74,18.883,216.93353,215.19916,15625000.0,1750000000.0,4.355e+15,1.299,2.004,4.173,453,512,0.88499,2592.8,60.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",SiO(5-4),-483.967,0
Wolf  219,6,A002_Xb25e1a_Xed74,18.883,218.82695,217.09257,15625000.0,1750000000.0,4.336e+15,1.294,2.216,4.446,373,512,0.72904,2615.5,60.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",H2CO,589.323,0
Wolf  219,6,A002_Xb25e1a_Xed74,18.883,231.59257,233.32695,15625000.0,1750000000.0,4.534e+15,1.352,2.068,4.093,442,512,0.86355,2789.5,60.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),2195.198,0
Wolf  219,6,A002_Xb25e1a_Xed74,18.883,229.26421,230.98931,488281.25,1725585937.5,8.426e+14,8.04,3.903,5.762,157,512,0.30799,2761.5,60.5,fine (<1 MHz),CO(2-1),224.259,0
bet Pic,3,A002_Xf5d76d_X32f1,19.635,114.82925,115.6918,244140.625,862792968.75,2.081e+14,3.696,14.654,7.266,0,512,0.0019493,1383.1,1209.6,fine (<1 MHz),,,1
bet Pic,3,A002_Xf5d76d_X32f1,19.635,101.92542,100.09729,15625000.0,1843750000.0,8.043e+14,0.2232,2.785,4.359,150,512,0.29435,1212.1,1463.6,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",HCO+(1-0),11173.916,0
bet Pic,3,A002_Xf5d76d_X32f1,19.635,103.82092,101.99279,15625000.0,1843750000.0,7.939e+14,0.2203,2.355,4.108,333,512,0.65107,1234.9,1463.6,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CN(1-0),-10716.959,0
bet Pic,3,A002_Xf5d76d_X32f1,19.635,112.59729,114.42542,15625000.0,1843750000.0,1.162e+15,0.3225,2.346,4.869,335,512,0.65497,1362.1,1463.6,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CN(1-0),-721.834,0
bet Pic,3,A002_Xf5d76d_X32f1,19.635,114.82925,115.6918,244140.625,862792968.75,2.081e+14,3.696,14.654,7.266,0,512,0.0019493,1383.1,1209.6,fine (<1 MHz),CO(1-0),-10.356,1
bet Pic,6,A002_X6f1341_X1484,19.635,230.0838,231.00396,244140.625,920410156.25,2.013e+15,35.75,10.165,15.174,8,512,0.017544,2766.5,1824.5,fine (<1 MHz),,,0
bet Pic,6,A002_X6f1341_X1484,19.635,230.0838,231.00396,244140.625,920410156.25,2.013e+15,35.75,10.165,15.174,8,512,0.017544,2766.5,1824.5,fine (<1 MHz),CO(2-1),-9.866,0
bet Pic,6,A002_X6f1341_X1484,19.635,231.67674,233.41112,15625000.0,1750000000.0,1.59e+16,4.411,2.55,4.375,317,512,0.61988,2790.5,1844.6,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),2232.495,0
bet Pic,6,A002_X6f1341_X1484,19.635,219.34922,217.64609,15625000.0,1718750000.0,1.531e+16,4.247,2.35,4.495,383,512,0.74854,2622.0,1824.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",H2CO,-138.409,0
bet Pic,6,A002_X6f1341_X1484,19.635,217.40607,215.68098,488281.25,1725585937.5,2.769e+15,24.59,4.578,5.857,138,512,0.27096,2598.5,1834.6,fine (<1 MHz),SiO(5-4),-948.927,0
bet Pic,6,A002_Xd9668b_X3a90,19.635,243.0493,244.87743,15625000.0,1843750000.0,7.409e+14,0.2056,2.361,4.467,403,512,0.78752,2927.6,2709.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-339.824,0
bet Pic,6,A002_Xd9668b_X3a90,19.635,226.34721,226.23942,122070.3125,107910156.25,5.904e+13,2.097,4.394,6.117,284,512,0.55556,2715.5,2328.5,fine (<1 MHz),CO(2-1),-4249.144,0
bet Pic,6,A002_Xd9668b_X3a90,19.635,225.73048,225.62269,122070.3125,107910156.25,6.001e+13,2.132,4.817,5.856,54,512,0.10721,2708.1,2328.5,fine (<1 MHz),CO(2-1),-4810.576,0
bet Pic,6,A002_Xd9668b_X3a90,19.635,226.90742,226.79963,122070.3125,107910156.25,5.871e+13,2.085,4.456,5.751,230,512,0.45029,2722.2,2328.5,fine (<1 MHz),CO(2-1),-3734.343,0
bet Pic,6,A002_Xd9668b_X3a90,19.635,226.69221,226.58442,122070.3125,107910156.25,5.923e+13,2.104,4.523,5.675,180,512,0.35283,2719.7,2328.5,fine (<1 MHz),CO(2-1),-3884.123,0
bet Pic,6,A002_Xd9668b_X3a90,19.635,230.54332,230.48941,15258.7890625,53924560.546875,2.344e+13,6.66,11.681,9.117,0,512,0.0019493,2766.2,2328.5,fine (<1 MHz),CO(2-1),-21.872,1
bet Pic,6,A002_Xd9668b_X3a90,19.635,241.55312,241.98439,122070.3125,431396484.375,6.17e+13,2.192,5.42,5.812,15,512,0.031189,2901.2,2328.5,fine (<1 MHz),CS(5-4),-3184.764,0
eta Cru,6,A002_Xbe7502_X2047,19.688,224.86719,223.13281,15625000.0,1750000000.0,1.146e+15,0.3163,3.057,4.457,108,512,0.21248,2688.0,1814.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",13CO(2-1),3140.062,0
eta Cru,6,A002_Xbe7502_X2047,19.688,226.86719,225.13281,15625000.0,1750000000.0,1.109e+15,0.3061,2.589,4.007,254,512,0.49708,2712.0,1814.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),-4155.188,0
eta Cru,6,A002_Xbe7502_X2047,19.688,239.13281,240.86719,15625000.0,1750000000.0,1.211e+15,0.3341,3.039,4.282,110,512,0.21637,2880.0,1814.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-5568.812,0
eta Cru,6,A002_Xbe7502_X2047,19.688,241.13281,242.86719,15625000.0,1750000000.0,1.289e+15,0.3558,2.25,4.309,427,512,0.83431,2904.0,1814.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),-2490.687,0
PM J034331958,6,A002_Xb25e1a_Xed74,20.757,216.93353,215.19916,15625000.0,1750000000.0,5.212e+15,1.294,1.706,4.662,507,512,0.99025,2592.8,60.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",SiO(5-4),-577.717,0
PM J034331958,6,A002_Xb25e1a_Xed74,20.757,218.82695,217.09257,15625000.0,1750000000.0,5.192e+15,1.289,2.968,4.463,84,512,0.16569,2615.5,60.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",H2CO,89.323,0
PM J034331958,6,A002_Xb25e1a_Xed74,20.757,231.59257,233.32695,15625000.0,1750000000.0,5.406e+15,1.342,2.525,4.49,249,512,0.48733,2789.5,60.5,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),1617.073,0
PM J034331958,6,A002_Xb25e1a_Xed74,20.757,229.26421,230.98931,488281.25,1725585937.5,1.006e+15,7.993,3.331,4.894,485,512,0.94737,2761.5,60.5,fine (<1 MHz),CO(2-1),-727.889,0
V star TX PsA,7,A002_Xcd2acd_X6125,20.835,347.05881,348.79318,15625000.0,1750000000.0,1.656e+15,0.4075,3.117,4.745,111,512,0.21832,4175.1,1385.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),2309.684,0
