star_name,system,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_ant,rms_mJy,smin_mJy,eirp_5sigma_W,drift_max_Hz_s,n_drift_trials,resolution_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,nearest_line,line_offset_MHz,line_offset_kms,hit,spatially_significant,qa_status,disposition
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.51135,7.55908,2.394097e+13,2712.0000,4,coarse,2.5730,4.3028,512,339,0.662768,CO(2-1),-4030.1856,-5346.10,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.68815,8.4437,2.674272e+13,2880.0000,4,coarse,2.5004,4.4398,512,353,0.690058,CS(5-4),-4803.1894,-5999.83,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.74898,8.74802,2.770657e+13,2904.0000,4,coarse,2.5241,4.3332,512,349,0.682261,CS(5-4),-2115.6894,-2620.94,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.60195,8.01218,2.537601e+13,2688.0000,4,coarse,2.5356,4.1879,512,344,0.672515,13CO(2-1),3702.5644,4955.36,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.49675,7.48609,2.370980e+13,2712.0000,4,coarse,2.4287,4.1841,512,393,0.768031,CO(2-1),-4452.0606,-5905.73,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.65938,8.29979,2.628693e+13,2880.0000,4,coarse,3.1765,4.9229,512,129,0.253411,CS(5-4),-5568.8144,-6956.20,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.7309,8.65761,2.742022e+13,2904.0000,4,coarse,3.3272,4.4550,512,50,0.099415,CS(5-4),-2209.4394,-2737.08,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.62737,8.13933,2.577872e+13,2688.0000,4,coarse,2.8396,4.5753,512,188,0.368421,13CO(2-1),4171.3144,5582.72,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.54087,7.70674,2.440864e+13,2712.0000,4,coarse,3.3402,4.3154,512,71,0.140351,CO(2-1),-5061.4356,-6714.07,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.69139,8.45989,2.679401e+13,2880.0000,4,coarse,2.4092,4.1582,512,443,0.865497,CS(5-4),-5178.1894,-6468.26,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.77911,8.89874,2.818393e+13,2904.0000,4,coarse,2.6640,4.6393,512,302,0.590643,CS(5-4),-2631.3144,-3259.70,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.59158,12.9618,4.105244e+13,2688.0000,4,coarse,2.2980,4.9983,512,437,0.853801,13CO(2-1),3061.9394,4097.97,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,2.48017,12.4047,3.928784e+13,2712.0000,4,coarse,2.6469,4.2383,512,298,0.582846,CO(2-1),-4764.5606,-6320.26,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,2.7473,13.7412,4.352101e+13,2880.0000,4,coarse,2.9429,4.5200,512,149,0.292398,CS(5-4),-4818.8144,-6019.35,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.88744,14.4423,4.574131e+13,2904.0000,4,coarse,2.1345,4.8367,512,486,0.949318,CS(5-4),-3584.4394,-4440.45,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.65516,8.27831,2.621890e+13,2688.0000,4,coarse,3.1691,4.7289,512,96,0.189084,13CO(2-1),3874.4394,5185.39,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.57546,7.8797,2.495645e+13,2712.0000,4,coarse,2.6146,4.9121,512,329,0.643275,CO(2-1),-4452.0606,-5905.73,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.73648,8.68539,2.750819e+13,2880.0000,4,coarse,2.2266,4.5224,512,481,0.939571,CS(5-4),-4506.3144,-5629.00,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.80722,9.03925,2.862893e+13,2904.0000,4,coarse,2.2804,4.5280,512,451,0.881092,CS(5-4),-3693.8144,-4575.94,False,False,searched,
