star,eb,band,f_cross_GHz,T_star,rank_screen,nearest_line,line_offset_kms,attributed,re_committed,im_committed,ctrl_committed,localised_committed,re_adopted,im_adopted,ctrl_adopted,localised_adopted,epoch_verified,epoch_source,displacement_ch,offset_arcsec,offset_source,science_row_fraction,residual_ch,residual_bound_ch,re_round6,localised_round6,fit_source,chain,visibility_status,recurrence_n_repeats,recurrence_max_T
bet Pic,A002_Xd9668b_X3a90,6,241.751236,5.4199,False,CS(5-4),-3898.032,False,,,,,,,,,,,,,,,,,,,,unattributed; below rank screen,untested,,
bet Pic,A002_Xd9668b_Xa9df,6,241.836658,5.0791,False,CS(5-4),-3793.478,False,,,,,,,,,,,,,,,,,,,,unattributed; below rank screen,untested,,
eta Crv,A002_X75bfbf_X1430,7,345.540374,5.0126,False,CO(3-2),-221.618,False,-0.9194510234313299,0.24353122829936533,2.675527978433608,False,4.6643291055514,-0.8808391694650013,2.0924508516816185,True,True,identical to times[0],-6.293235928103714,0.6236407055388221,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",0.6814159292035398,-0.0,,0.2151583548560191,False,visfit_r7_result.json,unattributed; below rank screen,localised,5,3.0370651240490076
eta Crv,A002_X122b6ff_X1041e,7,357.281464,5.0059,False,CO(3-2),9957.476,False,4.458140229884738,-1.2234835564412272,1.4315915039298481,True,4.6419188344643505,-1.0703358901054567,2.007250315006778,True,True,identical to times[0],-0.3774779962207031,0.03740435950567073,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,,,visfit_r7_result.json,unattributed; below rank screen,localised,1,1.5872556503584845
tau Cet,A002_Xba460f_X7e6,6,231.033401,5.198,False,CO(2-1),644.221,False,-0.12681432677416876,-0.35186338021212954,0.8642899454686434,False,4.744872655315906,-0.6003750558331945,1.387039112920671,True,False,"times[0], residual bounded",-2.12864609072051,0.16443019145775614,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,,4.25729218144102,-0.6391361168807516,False,visfit_r7_result.json,unattributed; below rank screen,localised,6,2.603939725099164
61 Vir,A002_Xc067f7_X822,7,345.559872,5.0382,False,CO(3-2),-204.714,False,-0.8018479720685096,-0.03715253842838524,1.413574722196892,False,4.192612909291151,-0.4007305393675423,1.4527869008570646,True,True,identical to times[0],3.426055891674502,0.06167777105842058,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,,,-0.8229855843718108,False,visfit_r7_result.json,unattributed; below rank screen,localised,7,3.9408792736698617
61 Vir,A002_Xc079b5_X82f,7,346.313811,5.9583,True,CO(3-2),448.924,False,-0.9684535788948141,0.3844840112510578,2.8775289903243837,False,5.262802817196502,-0.35179192275597043,0.964579644352224,True,True,identical to times[0],10.367032117745223,0.06635095162128038,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,,,-0.9281868032378929,False,visfit_r7_result.json,unattributed; rank-flagged; tested and does not recur,localised,7,2.9357936000534015
ALMA J153702653-33192492,A002_Xfe62c1_X398,6,216.184432,5.2281,False,SiO(5-4),-1271.179,False,1.0096235346599864,1.068765399712235,1.407167354937164,False,-0.5606628968473397,-0.14785028604251313,1.5882987608020036,False,True,identical to times[0],-8.50019503234693,5.746261261591804,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,,,visfit_r7_result.json,unattributed; below rank screen,not localised,,
ALMA J153702653-33192492,A002_Xf8f6a9_X10359,6,217.729244,5.0911,False,H2CO,,False,1.7941776314652602,0.7033734564732125,1.280449270833402,False,1.7894046452605716,-0.8081203487686461,2.145237294390996,False,True,identical to times[0],7.25827796955208,5.750056209516157,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,0.0,,,,visfit_r7_result.json,unattributed; below rank screen,not localised,,
ALMA J153702653-33192492,A002_Xf8f6a9_X10359,6,218.671139,5.0476,False,H2CO,,False,-1.1049254523365384,-1.1724136125464817,1.9601094061574305,False,4.49151598603679,0.5161498592946705,1.49378225632546,True,True,identical to times[0],7.25827796955208,5.750056209516157,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,0.0,,0.2560194002607058,False,visfit_r7_result.json,unattributed; below rank screen,localised,,
ALMA J153702653-33192492,A002_Xfe62c1_X398,6,218.872908,5.0901,False,H2CO,,False,-0.4692457971497577,0.2180705160380801,0.6285334837863742,False,4.685989812462412,0.08539474866753004,1.050636503396813,True,True,identical to times[0],-8.50019503234693,5.746261261591804,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,-1.5936153706268759,False,visfit_r7_result.json,unattributed; below rank screen,localised,,
ALMA J153702653-33192492,A002_Xff0235_X8392,6,230.522151,5.405,False,CO(2-1),-20.61,True,4.439613929934057,0.964515613630174,3.2747620501418973,True,4.439613929934057,0.964515613630174,3.2747620501418973,True,True,identical to times[0],-0.13742456587318697,5.745735954996915,"measured: Gaia + FIELD::PHASE_DIR of the fitted field, this MS",1.0,-0.0,,1.5213313237283452,False,visfit_r7_result.json,attributed,localised,,
