star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,eirp_eff_total_W,c_response_smear,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,star_snr_regionmax,stage1_flag_regionmax,n_ctrl,n_ctrl_ge_star,p_rank_addone,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
Proxima Cen,Proxima Cen,6,A002_X107376c_X1ba2,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,2.27882,11.40420,3.611915e+13,7.223830e+13,9.631773e+13,8.255806e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.8076,4.2651,3.9168,False,512,20,0.040936,,13CO(2-1),2874.4394,3909.887,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X21a9,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,201.60,,8.35450,41.81121,1.324237e+14,2.648473e+14,3.531298e+14,3.026827e+14,2.2857,2688.0000,3.598,2,0.03468,,coarse,B,3.0077,3.9980,3.6404,False,512,76,0.150097,,13CO(2-1),3936.9394,5355.127,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.58409,7.92759,2.510810e+13,5.021620e+13,6.695494e+13,5.738995e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.6430,4.9029,3.0363,False,512,312,0.610136,,13CO(2-1),2983.8144,4058.662,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.58282,7.92121,2.508791e+13,5.017582e+13,6.690109e+13,5.734379e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.9116,3.7797,3.7521,False,512,167,0.327485,,13CO(2-1),3702.5644,5036.325,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.61024,8.05845,2.552256e+13,5.104512e+13,6.806016e+13,5.833728e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.2984,4.7602,4.2488,False,512,67,0.132554,,13CO(2-1),4171.3144,5673.930,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X59f,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.39825,6.99745,2.216218e+13,4.432435e+13,5.909914e+13,5.065640e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.5602,4.4120,3.5602,False,512,361,0.705653,,13CO(2-1),3436.9394,4675.014,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.74450,8.73021,2.765015e+13,5.530029e+13,7.373373e+13,6.320034e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.4835,4.0649,3.1720,False,512,368,0.719298,,13CO(2-1),4108.8144,5588.916,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.79342,8.97503,2.842555e+13,5.685111e+13,7.580148e+13,6.497270e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.3477,5.1249,3.3870,False,512,435,0.849903,,13CO(2-1),3718.1894,5057.578,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.93270,9.67205,3.063313e+13,6.126627e+13,8.168835e+13,7.001859e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.4798,4.3489,3.6386,False,512,29,0.058480,,13CO(2-1),3890.0644,5291.367,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.62478,8.13112,2.575272e+13,5.150544e+13,6.867392e+13,5.886336e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.7539,4.7142,4.3016,False,512,31,0.062378,,13CO(2-1),3749.4394,5100.085,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.33089,6.66037,2.109459e+13,4.218918e+13,5.625224e+13,4.821620e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.2945,4.6219,3.4325,False,512,79,0.155945,,13CO(2-1),3983.8144,5418.888,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xacdc,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.35915,6.80179,2.154251e+13,4.308502e+13,5.744670e+13,4.924002e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.1166,4.4192,3.4779,False,512,101,0.198830,,13CO(2-1),3515.0644,4781.282,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.73605,8.68815,2.751693e+13,5.503386e+13,7.337848e+13,6.289584e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.7377,4.3021,3.2556,False,512,288,0.563353,,13CO(2-1),4499.4394,6120.255,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.76864,8.85122,2.803341e+13,5.606682e+13,7.475576e+13,6.407636e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.0932,4.3149,4.2866,False,512,127,0.249513,,13CO(2-1),3952.5644,5376.381,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,2975,2.08023,10.41105,3.297368e+13,6.594736e+13,8.792982e+13,7.536842e+13,2.2857,2712.0000,3.598,4,0.5205,1.0000,coarse,B,3.3255,5.0369,3.8006,False,512,68,0.134503,226.132814,CO(2-1),-4405.1856,-5728.519,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2797.20,,1.52647,7.63923,2.419483e+13,4.838965e+13,6.451954e+13,5.530246e+13,2.2857,2712.0000,3.598,4,0.4855,,coarse,B,4.0467,4.2671,4.3415,False,512,4,0.009747,,CO(2-1),-4514.5606,-5870.751,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.97454,9.88204,3.129822e+13,6.259644e+13,8.346192e+13,7.153879e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.5429,4.2998,3.4987,False,512,351,0.686160,,CO(2-1),-4123.9356,-5362.781,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,2.45743,12.29825,3.895079e+13,7.790158e+13,1.038688e+14,8.903037e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.7626,4.2576,3.1254,False,512,243,0.475634,,CO(2-1),-3764.5606,-4895.448,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.85846,9.30074,2.945713e+13,5.891426e+13,7.855234e+13,6.733058e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.8173,4.1894,3.8370,False,512,183,0.358674,,CO(2-1),-4092.6856,-5322.143,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X1426f,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.75594,8.78763,2.783203e+13,5.566405e+13,7.421874e+13,6.361606e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.1657,4.7143,3.8010,False,512,118,0.231969,,CO(2-1),-4295.8106,-5586.288,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.71643,8.58993,2.720587e+13,5.441174e+13,7.254899e+13,6.218485e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.3987,3.8680,3.4889,False,512,383,0.748538,,CO(2-1),-5045.8106,-6561.591,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.55403,7.77715,2.463165e+13,4.926329e+13,6.568439e+13,5.630091e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.6068,4.5738,3.0623,False,512,345,0.674464,,CO(2-1),-4123.9356,-5362.781,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.89144,9.46611,2.998087e+13,5.996174e+13,7.994899e+13,6.852771e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.9063,4.5754,3.5862,False,512,226,0.442495,,13CO(2-1),4968.1894,6757.861,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.52542,7.63422,2.417895e+13,4.835791e+13,6.447721e+13,5.526618e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.8226,4.4303,3.1039,False,512,219,0.428850,,CO(2-1),-4077.0606,-5301.824,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X1ba2,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,2.17539,10.88677,3.448038e+13,6.896076e+13,9.194769e+13,7.881230e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.3317,4.9959,3.4811,False,512,70,0.138402,,CO(2-1),-4983.3106,-6480.315,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X21a9,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,201.60,,7.77350,38.90415,1.232165e+14,2.464330e+14,3.285773e+14,2.816377e+14,2.2857,2712.0000,3.598,2,0.03499,,coarse,B,2.1083,3.7427,2.8227,False,512,423,0.826511,,13CO(2-1),4686.9394,6375.297,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.49490,7.48134,2.369475e+13,4.738950e+13,6.318599e+13,5.415942e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.0665,4.3501,3.5530,False,512,131,0.257310,,CO(2-1),-4030.1856,-5240.868,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.48103,7.41190,2.347484e+13,4.694967e+13,6.259956e+13,5.365677e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.5679,4.6935,3.6541,False,512,373,0.729045,,CO(2-1),-4452.0606,-5789.476,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.52253,7.61963,2.413275e+13,4.826550e+13,6.435401e+13,5.516058e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.6688,4.3673,4.1176,False,512,20,0.040936,,CO(2-1),-4061.4356,-5281.506,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X59f,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.31908,6.60133,2.090760e+13,4.181521e+13,5.575361e+13,4.778881e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.4316,4.0158,3.7231,False,512,40,0.079922,,13CO(2-1),5061.9394,6885.382,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.67675,8.39130,2.657678e+13,5.315356e+13,7.087141e+13,6.074692e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.7079,4.7920,3.2903,False,512,274,0.536062,,CO(2-1),-4873.9356,-6338.084,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.73997,8.70768,2.757881e+13,5.515762e+13,7.354349e+13,6.303727e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.3095,3.9943,2.6353,False,512,458,0.894737,,CO(2-1),-3764.5606,-4895.448,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.79535,8.98482,2.845654e+13,5.691309e+13,7.588412e+13,6.504353e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.8297,4.0742,4.0108,False,512,8,0.017544,,CO(2-1),-3998.9356,-5200.230,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.54416,7.72777,2.447523e+13,4.895047e+13,6.526729e+13,5.594339e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.6975,4.5933,3.5322,False,512,279,0.545809,,CO(2-1),-4795.8106,-6236.490,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.25455,6.27840,1.988484e+13,3.976968e+13,5.302624e+13,4.545106e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.2822,4.5265,2.7293,False,512,456,0.890838,,CO(2-1),-4920.8106,-6399.040,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xacdc,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.27296,6.37056,2.017673e+13,4.035346e+13,5.380461e+13,4.611824e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.0627,4.5744,3.5270,False,512,149,0.292398,,CO(2-1),-4514.5606,-5870.751,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.65051,8.26017,2.616146e+13,5.232292e+13,6.976389e+13,5.979762e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,2.3421,4.5995,3.3524,False,512,427,0.834308,,CO(2-1),-3936.4356,-5118.955,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.67779,8.39668,2.659381e+13,5.318762e+13,7.091682e+13,6.078585e+13,2.2857,2712.0000,3.598,4,0.5205,,coarse,B,3.1726,4.7106,3.3018,False,512,86,0.169591,,13CO(2-1),4686.9394,6375.297,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,2975,3.36108,16.82344,5.328289e+13,1.065658e+14,1.420877e+14,1.217895e+14,2.2857,2880.0000,3.598,4,0.5527,1.0000,coarse,B,3.4710,4.6070,4.1186,False,512,37,0.074074,239.210936,CS(5-4),-5725.0644,-7007.264,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2797.20,,1.68743,8.44571,2.674909e+13,5.349818e+13,7.133090e+13,6.114078e+13,2.2857,2880.0000,3.598,4,0.5156,,coarse,B,3.0128,4.4485,3.0538,False,512,171,0.335283,,CS(5-4),-4756.3144,-5821.550,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.19549,10.98916,3.480467e+13,6.960935e+13,9.281247e+13,7.955354e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,3.2463,3.9324,3.3351,False,512,60,0.118908,,CS(5-4),-5709.4394,-6988.139,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.72245,13.62611,4.315635e+13,8.631269e+13,1.150836e+14,9.864308e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,2.9454,4.0744,3.7173,False,512,165,0.323587,,CS(5-4),-5818.8144,-7122.010,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.06025,10.31179,3.265929e+13,6.531859e+13,8.709145e+13,7.464982e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,1.9238,4.0474,2.7176,False,512,509,0.994152,,CS(5-4),-4756.3144,-5821.550,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X1426f,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.92413,9.63049,3.050152e+13,6.100303e+13,8.133738e+13,6.971775e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,3.4694,4.4847,3.8735,False,512,45,0.089669,,CS(5-4),-5584.4394,-6835.144,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.90944,9.55695,3.026859e+13,6.053717e+13,8.071623e+13,6.918534e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,2.8305,4.6208,3.8114,False,512,249,0.487329,,CS(5-4),-4459.4394,-5458.186,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.71900,8.60372,2.724953e+13,5.449905e+13,7.266540e+13,6.228463e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,2.2582,4.4972,3.1207,False,512,458,0.894737,,CS(5-4),-4506.3144,-5515.559,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.11063,10.56438,3.345931e+13,6.691861e+13,8.922482e+13,7.647842e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,3.0935,4.4402,3.4479,False,512,148,0.290448,,CS(5-4),-4053.1894,-4960.951,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.69645,8.49113,2.689295e+13,5.378590e+13,7.171453e+13,6.146960e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,2.6730,4.4176,3.3192,False,512,324,0.633528,,CS(5-4),-5803.1894,-7102.886,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X1ba2,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,2.38588,11.94151,3.782093e+13,7.564185e+13,1.008558e+14,8.644783e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,3.0632,4.5668,3.2858,False,512,122,0.239766,,CS(5-4),-5553.1894,-6796.895,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X21a9,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,201.60,,8.69932,43.54289,1.379082e+14,2.758164e+14,3.677552e+14,3.152187e+14,2.2857,2880.0000,3.598,2,0.03716,,coarse,B,2.0399,4.5415,2.8428,False,512,473,0.923977,,CS(5-4),-4162.5644,-5094.822,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.67033,8.36027,2.647849e+13,5.295699e+13,7.060932e+13,6.052227e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,2.4043,4.9021,3.5097,False,512,422,0.824561,,CS(5-4),-4662.5644,-5706.804,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.64036,8.21028,2.600344e+13,5.200689e+13,6.934251e+13,5.943644e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,3.3697,4.3150,3.6905,False,512,58,0.115010,,CS(5-4),-5568.8144,-6816.020,star,26.195,3.667,20.432,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,239.085936,240.914061,15625000.0000,1828125000.0,2998.80,,1.67573,8.38727,2.656402e+13,5.312804e+13,7.083738e+13,6.071776e+13,2.2857,2880.0000,3.598,4,0.5527,,coarse,B,2.4365,4.1113,2.8376,False,512,420,0.820663,,CS(5-4),-5193.8144,-6357.034,star,26.195,3.667,20.432,512,20260825,False,False,
