star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,eirp_eff_total_W,c_response_smear,eirp_p90_W,eirp_p90_sel_W,eirp_p90_lo_W,eirp_p90_hi_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,star_snr_regionmax,stage1_flag_regionmax,n_ctrl,n_ctrl_ge_star,p_rank_addone,p_rank_local,stage1_flag_local,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.99493,9.97786,3.160169e+13,6.320337e+13,8.427116e+13,7.223242e+13,2.2857,1.306203e+14,1.439005e+14,1.372958e+14,1.487088e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.7318,4.6311,3.9991,False,512,233,0.456140,0.366472,False,225.992189,CO(2-1),-4545.8106,-5911.389,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,2.48017,12.40467,3.928784e+13,7.857568e+13,1.047676e+14,8.980078e+13,2.2857,1.623897e+14,1.789000e+14,1.706889e+14,1.848778e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.6469,4.2383,3.2432,False,512,298,0.582846,0.502924,False,225.773439,CO(2-1),-4764.5606,-6195.852,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.87560,9.38090,2.971101e+13,5.942201e+13,7.922935e+13,6.791087e+13,2.2857,1.228055e+14,1.352912e+14,1.290816e+14,1.398118e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.4276,4.1408,3.6713,False,512,400,0.781676,0.771930,False,226.445314,CO(2-1),-4092.6856,-5322.143,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.73747,8.69002,2.752286e+13,5.504572e+13,7.339429e+13,6.290939e+13,2.2857,1.137612e+14,1.253273e+14,1.195750e+14,1.295150e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.6975,4.8314,3.7648,False,512,254,0.497076,0.327485,False,226.757814,CO(2-1),-3780.1856,-4915.767,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.57546,7.87970,2.495645e+13,4.991290e+13,6.655053e+13,5.704331e+13,2.2857,1.031533e+14,1.136410e+14,1.084251e+14,1.174382e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.6146,4.9121,3.1724,False,512,329,0.643275,0.645224,False,226.085939,CO(2-1),-4452.0606,-5789.476,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.90991,9.55263,3.025489e+13,6.050979e+13,8.067972e+13,6.915405e+13,2.2857,1.250536e+14,1.377678e+14,1.314446e+14,1.423712e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.7621,4.2164,3.5974,False,512,264,0.516569,0.415205,False,225.367189,13CO(2-1),4968.1894,6757.861,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.53987,7.70180,2.439299e+13,4.878597e+13,6.504796e+13,5.575540e+13,2.2857,1.008243e+14,1.110752e+14,1.059771e+14,1.147867e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.6537,4.5130,3.2453,False,512,297,0.580897,0.512671,False,225.445314,13CO(2-1),5046.3144,6864.128,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.51135,7.55908,2.394097e+13,4.788193e+13,6.384258e+13,5.472221e+13,2.2857,9.895599e+13,1.090169e+14,1.040132e+14,1.126596e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.5730,4.3028,3.5897,False,512,339,0.662768,0.619883,False,226.507814,CO(2-1),-4030.1856,-5240.868,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2b06,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.49675,7.48609,2.370980e+13,4.741961e+13,6.322614e+13,5.419384e+13,2.2857,9.800052e+13,1.079643e+14,1.030090e+14,1.115718e+14,2712.0000,3.598,4,0.5205,,coarse,B,2.4287,4.1841,3.3770,False,512,393,0.768031,0.713450,False,226.085939,CO(2-1),-4452.0606,-5789.476,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,,1.54087,7.70674,2.440864e+13,4.881729e+13,6.508971e+13,5.579118e+13,2.2857,1.008891e+14,1.111465e+14,1.060451e+14,1.148604e+14,2712.0000,3.598,4,0.5205,,coarse,B,3.3402,4.3154,3.6367,False,512,71,0.140351,0.101365,False,225.476564,CO(2-1),-5061.4356,-6581.909,star,27.817,3.894,21.698,512,20260825,False,False,
