rank,name,ra,dec,dist_pc,pmra,pmdec,alma_bands,gmag,teff,is_exo_host,n_planets,source,status,orig_rank,gaia_source_id
127,HD 45184,96.18199432228883,-28.780657042949517,21.892263773131692,-165.12174891818395,-121.85155201671665,6,6.221315860748291,5739.9775390625,True,2,new40pc,needs_redo,127,2898239468873596800
128,LP 476-207 [783296],75.49535739653825,9.982201206120338,23.75250239823961,50.7705362914874,-117.65519696749398,7,11.420147895812988,,,,new40pc,needs_redo,128,3291643148741783296
129,LP 476-207 [384128],75.49514106880602,9.98252583775703,23.787535885512828,31.659601361197897,-121.56604123955785,7,10.568317413330078,3263.599853515625,,,new40pc,needs_redo,129,3291643148740384128
130,HD202628,319.61510203083486,-43.334555635071645,23.794008118530165,241.97817465600454,21.4254775956858,6,6.59805965423584,5688.802734375,,,new40pc,needs_redo,130,6577318075351824512
131,HD 31392,73.51821774797449,-35.40381777054113,25.760172526564894,125.13111743965055,157.46916518127705,6,7.401483058929443,5250.1005859375,,,new40pc,needs_redo,131,4824866896260056448
132,CD-57 1054,75.19666437541598,-57.25674085176277,26.873154628817716,35.38835067056905,74.11315957504551,7,9.377309799194336,,,,new40pc,needs_redo,132,4764027962957023104
133,LP 353-51,35.861502297689235,22.73471064102162,27.099096809465742,98.67335793040262,-112.5796152979364,7,10.429566383361816,,,,new40pc,needs_redo,133,101612981989146752
134,hd107146,184.77628126563016,16.547634275964707,27.46966568803521,-174.68330451425365,-149.0213066316967,"6,7",6.903610706329346,5714.91796875,,,new40pc,needs_redo,134,3946438125929224320
135,L 836-122,213.5703012153189,-15.354424665434726,28.69665872849319,-120.12639591574222,-197.31305204030417,7,12.639531135559082,3005.864501953125,,,new40pc,needs_redo,135,6298167942962279680
136,HD172555,281.3624218338677,-64.87192513545952,28.789014639652546,31.952325282703374,-149.7298949001875,"6,7",4.724597930908203,,,,new40pc,needs_redo,136,6438274350302427776
137,HD161868,266.97306262165563,2.7069481817732406,29.746518013453738,-23.936396789147118,-74.4615293942277,"6,7",3.7528483867645264,,,,new40pc,needs_redo,137,4472097420946809600
138,51 Eri,69.40074849308137,-2.473833383625505,29.905171464867223,44.04884090373149,-64.02842203088811,6,5.141170501708984,7250.2822265625,True,1,new40pc,needs_redo,138,3205095125321700480
139,kap CrB,237.80799964337655,35.65583336071889,29.99107142886642,-8.66850860804631,-348.3495377967055,6,4.511343002319336,4766.95703125,True,1,new40pc,needs_redo,139,1372702716380418688
140,HD 155555C,259.38019925411857,-66.95216506015974,30.41163075343437,-14.85124078605511,-145.2044300598275,7,11.467639923095703,,,,new40pc,needs_redo,140,5811866358170877184
141,2MASS J05241914-1601153 [551040],81.07988840263758,-16.021006482278416,30.985412934448114,0.5825217332636066,-34.24251559938638,7,12.77765941619873,,,,new40pc,needs_redo,141,2983928739350551040
142,WD0346-011,57.209484369964336,-0.9763603962606229,31.03960555071531,84.62182086558782,-162.95242500416975,6,14.022510528564453,,,,new40pc,needs_redo,142,3251244858154433536
143,2MASS J05241914-1601153 [717696],81.07977038972696,-16.021054872828934,31.190147581381755,31.98659319809813,-24.00298306216711,7,12.496781349182129,,,,new40pc,needs_redo,143,2983928735054717696
144,LP 722-21,111.37342105256133,-10.700807806408147,33.08196284851033,-204.00254985481416,-197.59354033368908,3,10.8743896484375,3944.25439453125,,,new40pc,needs_redo,144,3035245970683433344
145,UCAC2 20312880,93.30542437726922,-27.701553789338497,33.76600145983334,-14.16228325446633,-1.234794293616982,7,10.942436218261719,,,,new40pc,needs_redo,145,2899492637251200512
146,HR 2562,102.5042729562954,-60.24866244574327,33.92840645115612,4.8304672413127,108.52711029707115,7,6.004305362701416,6438.20703125,True,1,new40pc,needs_redo,146,5480006192386819456
147,TWA 7,160.62479038000887,-33.67126227095639,34.09748983013265,-118.75057501508036,-19.647775126946925,7,10.64235782623291,,True,1,new40pc,needs_redo,147,5444751795151480320
148,WD 0407+179,62.54334799500532,18.039562944974314,34.11019824511173,71.94107817041217,-86.17316229550332,6,14.224763870239258,,,,new40pc,needs_redo,148,46896958359881728
149,UCAC3 176-23654,83.49930047922183,-2.3592553593286123,34.34591487127615,9.524594919115954,-58.41319216784366,7,11.267261505126953,,,,new40pc,needs_redo,149,3216922640621225088
150,GJ 2006B,6.960399431589031,-32.55690077270133,34.97642342929373,112.46220003211967,-44.50097972386254,7,11.91622257232666,,,,new40pc,needs_redo,150,2315841869173294208
151,ALMA J153702.653-331924.92,234.262551465927,-33.324644713896944,35.00975445603521,-113.36685419076841,-83.25542532076133,"3,6,7",15.862728118896484,,,,new40pc,needs_redo,151,6015967739554000768
152,GJ 2006A,6.959885949983793,-32.55196152818741,35.0291581413077,110.1978991408203,-47.19402028438259,7,11.703627586364746,,,,new40pc,needs_redo,152,2315841869173294080
153,TYC 2211-1309-1,330.1736510918951,27.253691211852217,35.42393596572567,75.83796382417367,-17.7688232256748,7,10.651689529418945,,,,new40pc,needs_redo,153,1892968735059453440
154,HD14055,34.3288558064912,33.846962660907664,35.740498145648736,45.25343798552453,-52.68543639346999,"6,7",4.016055107116699,,,,new40pc,needs_redo,154,326109689896765568
155,HD 48370,100.7543305015117,-2.8890154549152767,35.95188010838147,14.310372872125994,-71.13678685898252,"6,8",7.746348857879639,5539.2275390625,,,new40pc,needs_redo,155,3105749748629384576
156,HD 89452,154.86891161055314,6.5827594949605075,36.22697725246051,-41.70317751684498,-47.93085656871941,6,8.742254257202148,4920.78857421875,,,new40pc,needs_redo,156,3861752365967697664
157,HD61005,113.94747066258135,-32.203571103935936,36.4505894175606,-55.049850187522495,74.31883665511522,"6,7,8,10",8.016805648803711,5366.42529296875,,,new40pc,needs_redo,157,5592237639209047424
158,CP-72 2713,340.70523481724115,-71.70612167520389,36.722200774181445,94.85392450898829,-52.38401799984418,"6,7",9.821706771850586,,,,new40pc,needs_redo,158,6382640367603744128
159,HD170773,278.25431992088164,-39.892376094961435,36.93452283184798,86.35334912822485,-79.92652570898933,"6,7",6.119171619415283,6509.04248046875,,,new40pc,needs_redo,159,6723753061177741312
160,TWA 3A [696000],167.6156531439757,-37.53105714841606,37.05470485656213,-115.52364841987226,-16.88624931365088,6,11.222070693969727,3246.693115234375,,,new40pc,needs_redo,160,5396978667759696000
