window,band,chanw_kHz,phi,realisation,peak_unsmoothed,peak_smoothed,unit_channel_reference,hanning_only_ratio,factor
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,4,24.835,15.9863,39.736,1.5535,2.4856
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,5,24.9005,16.0692,39.8408,1.5496,2.4793
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,6,24.8304,15.9847,39.7287,1.5534,2.4854
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,7,24.8892,16.0639,39.8227,1.5494,2.479
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,8,24.8526,16.0173,39.7641,1.5516,2.4826
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,9,24.8585,16.0318,39.7735,1.5506,2.4809
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,0,19.8116,14.6914,39.6231,1.3485,2.697
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,1,21.6752,16.1207,43.3504,1.3446,2.6891
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,2,19.8416,14.7535,39.6832,1.3449,2.6897
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,3,24.343,18.1401,48.686,1.3419,2.6839
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,4,19.8059,14.6355,39.6118,1.3533,2.7066
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,5,21.7977,16.0745,43.5954,1.356,2.7121
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,6,28.6346,21.2515,57.2691,1.3474,2.6948
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,7,19.7431,14.7243,39.4863,1.3408,2.6817
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,8,19.8707,14.7619,39.7414,1.3461,2.6922
A002_Xc6b674_X23f2_spw0,7,488.28,0.5,9,19.8479,14.7496,39.6958,1.3457,2.6913
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,0,39.875,19.7167,39.875,2.0224,2.0224
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,1,39.9328,19.7567,39.9328,2.0212,2.0212
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,2,39.9113,19.7485,39.9113,2.021,2.021
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,3,39.9103,19.7871,39.9103,2.017,2.017
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,4,39.9287,19.7669,39.9287,2.02,2.02
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,5,39.9422,19.8143,39.9422,2.0158,2.0158
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,6,39.9352,19.8181,39.9352,2.0151,2.0151
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,7,39.919,19.7542,39.919,2.0208,2.0208
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,8,39.9394,19.7932,39.9394,2.0178,2.0178
A002_Xc6a3db_X26cc_spw0,7,488.28,0.0,9,39.8782,19.761,39.8782,2.018,2.018
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,0,34.8973,18.5499,39.8826,1.8813,2.15
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,1,34.9146,18.5753,39.9024,1.8796,2.1481
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,2,34.7542,18.3972,39.719,1.8891,2.159
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,3,34.9111,18.4761,39.8984,1.8895,2.1595
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,4,34.8259,18.4869,39.801,1.8838,2.1529
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,5,34.8915,18.5487,39.8761,1.8811,2.1498
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,6,34.9268,18.6119,39.9163,1.8766,2.1447
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,7,34.9347,18.5982,39.9254,1.8784,2.1467
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,8,34.767,18.3844,39.7337,1.8911,2.1613
A002_Xc6a3db_X26cc_spw0,7,488.28,0.125,9,34.8559,18.5009,39.8354,1.884,2.1532
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,0,29.8774,17.3218,39.8366,1.7249,2.2998
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,1,29.9231,17.3544,39.8974,1.7242,2.299
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,2,29.8836,17.2751,39.8448,1.7299,2.3065
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,3,29.7791,17.182,39.7054,1.7332,2.3109
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,4,29.8311,17.2282,39.7748,1.7315,2.3087
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,5,29.9037,17.2906,39.8716,1.7295,2.306
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,6,29.7878,17.1925,39.7171,1.7326,2.3101
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,7,29.8615,17.2763,39.8154,1.7285,2.3046
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,8,29.831,17.2218,39.7747,1.7322,2.3096
A002_Xc6a3db_X26cc_spw0,7,488.28,0.25,9,29.8009,17.1316,39.7345,1.7395,2.3194
