trial,target,window,band,chanw_Hz,klass,n_int,n_chan,inj_chan,amp_sigma,dwell,realisation,sigma_per_int,recovered_snr,peak_chan,detected
57,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.4,3,0.003896629928477341,7.476068663662834,64,True
58,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.4,4,0.003896629928477341,7.566633115587176,64,True
59,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.4,5,0.003896629928477341,7.423722398528679,64,True
60,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.25,0,0.003896629928477341,4.040974557019032,64,False
61,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.25,1,0.003896629928477341,4.0432563975753,64,False
62,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.25,2,0.003896629928477341,4.116407657229485,64,False
63,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.25,3,0.003896629928477341,4.069776279915136,64,False
64,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.25,4,0.003896629928477341,4.109614129004955,64,False
65,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.25,5,0.003896629928477341,4.098670597473404,64,False
66,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.1,0,0.003896629928477341,0.7647296838944154,45,False
67,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.1,1,0.003896629928477341,0.8635722504944365,45,False
68,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.1,2,0.003896629928477341,0.8827444893773408,45,False
69,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.1,3,0.003896629928477341,0.8965096740927603,45,False
70,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.1,4,0.003896629928477341,0.8257689380314752,45,False
71,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.1,5,0.003896629928477341,0.7860758038511344,45,False
72,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,1.0,0,0.003896629928477341,26.623992444899358,64,True
73,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,1.0,1,0.003896629928477341,26.623992444899358,64,True
74,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,1.0,2,0.003896629928477341,26.623992444899358,64,True
75,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,1.0,3,0.003896629928477341,26.623992444899358,64,True
76,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,1.0,4,0.003896629928477341,26.623992444899358,64,True
77,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,1.0,5,0.003896629928477341,26.623992444899358,64,True
78,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.75,0,0.003896629928477341,20.246861620071275,64,True
79,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.75,1,0.003896629928477341,20.31832207788839,64,True
80,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.75,2,0.003896629928477341,20.360331727732195,64,True
81,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.75,3,0.003896629928477341,20.20415159031719,64,True
82,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.75,4,0.003896629928477341,20.055986661195707,64,True
83,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.75,5,0.003896629928477341,20.306057627982323,64,True
84,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.5,0,0.003896629928477341,12.733674879896666,64,True
85,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.5,1,0.003896629928477341,13.208908587442163,64,True
86,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.5,2,0.003896629928477341,12.990371478222643,64,True
87,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.5,3,0.003896629928477341,12.89549378362217,64,True
88,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.5,4,0.003896629928477341,12.965934805054466,64,True
89,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.5,5,0.003896629928477341,13.13136854767085,64,True
90,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.4,0,0.003896629928477341,10.330839002839864,64,True
91,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.4,1,0.003896629928477341,10.370057768801498,64,True
92,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.4,2,0.003896629928477341,10.459963754190015,64,True
93,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.4,3,0.003896629928477341,10.30358874862869,64,True
94,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.4,4,0.003896629928477341,10.722598983410805,64,True
95,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.4,5,0.003896629928477341,10.12520478433635,64,True
96,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.25,0,0.003896629928477341,6.02308795613316,64,True
97,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.25,1,0.003896629928477341,6.1198720956891925,64,True
98,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.25,2,0.003896629928477341,5.872228010338428,64,True
99,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.25,3,0.003896629928477341,5.892543927027998,64,True
100,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.25,4,0.003896629928477341,6.11375273562397,64,True
101,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.25,5,0.003896629928477341,5.840459612890231,64,True
102,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.1,0,0.003896629928477341,1.4566978438772276,45,False
103,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.1,1,0.003896629928477341,1.5248966633301932,45,False
104,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.1,2,0.003896629928477341,1.549071458306961,45,False
105,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.1,3,0.003896629928477341,1.6650772598644519,45,False
106,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.1,4,0.003896629928477341,1.4404499103963426,45,False
107,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,4,0.1,5,0.003896629928477341,1.6300974020209817,45,False
108,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,1.0,0,0.003896629928477341,33.5702855005498,64,True
109,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,1.0,1,0.003896629928477341,33.5702855005498,64,True
110,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,1.0,2,0.003896629928477341,33.5702855005498,64,True
111,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,1.0,3,0.003896629928477341,33.5702855005498,64,True
112,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,1.0,4,0.003896629928477341,33.5702855005498,64,True
113,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,1.0,5,0.003896629928477341,33.5702855005498,64,True
114,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.75,0,0.003896629928477341,25.800573073289492,64,True
115,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.75,1,0.003896629928477341,25.833515924250925,64,True
116,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.75,2,0.003896629928477341,25.80569816154735,64,True
117,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.75,3,0.003896629928477341,25.462470503271597,64,True
118,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.75,4,0.003896629928477341,26.021884024823073,64,True
119,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.75,5,0.003896629928477341,25.502124512446315,64,True
120,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.5,0,0.003896629928477341,16.18472827930316,64,True
121,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.5,1,0.003896629928477341,16.809375862001705,64,True
