star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
j1256-1257,j1256-1257,7,A002_Xd9398d_X322a,21.1536,344.955354,346.680940,976562.5000,1725585937.5,2177.28,360,1.82838,15.91916,8.323367e+14,1.109782e+15,1.664673e+15,4149.8178,3.598,47,9.252,0.9997,fine,A,4.9607,5.4833,512,30,0.060429,346.304963,CO(3-2),508.9634,441.253,star,18.179,2.545,14.180,512,20260825,False,False,
j1256-1257,j1256-1257,7,A002_Xd9398d_X322a,21.1536,355.108748,356.936873,15625000.0000,1828125000.0,2939.33,486,0.38734,3.48632,2.916524e+15,5.833047e+15,7.777396e+15,4272.2737,3.598,4,0.8037,1.0000,coarse,B,4.0249,4.4955,512,4,0.009747,355.452498,CO(3-2),9656.4983,8371.830,star,17.658,2.472,13.773,512,20260825,False,False,
j1256-1257,j1256-1257,7,A002_Xd9398d_X322a,21.1536,356.908864,358.736989,15625000.0000,1828125000.0,2939.33,486,0.44906,4.06603,3.401495e+15,6.802991e+15,9.070654e+15,4293.8751,3.598,4,0.8078,1.0000,coarse,B,2.6378,4.2743,512,298,0.582846,358.252614,CO(3-2),12456.6137,10799.427,star,17.569,2.460,13.704,512,20260825,False,False,
hd92945,hd92945,7,A002_Xbbadbe_X3846,21.5085,342.239130,343.973505,15625000.0000,1734375000.0,3320.35,549,0.28405,1.42030,1.228384e+15,2.456768e+15,3.275691e+15,4117.2758,3.598,5,0.8749,1.0000,coarse,B,3.4544,4.9605,512,43,0.085770,343.567255,CO(3-2),-2228.7454,-1932.241,star,18.323,2.565,14.292,512,20260825,False,False,
hd92945,hd92945,7,A002_Xbbadbe_X3846,21.5085,344.139024,345.864610,976562.5000,1725585937.5,2812.32,465,1.48687,7.43456,4.018726e+14,5.358301e+14,8.037452e+14,4140.0218,3.598,59,11.92,0.9997,fine,A,4.0322,5.5884,512,466,0.910331,344.543321,CO(3-2),-1252.6790,-1086.027,star,18.222,2.551,14.213,512,20260825,False,False,
hd92945,hd92945,7,A002_Xbbadbe_X3846,21.5085,354.245561,355.970658,488281.2500,1725097656.2,2812.32,465,1.95977,9.79912,2.648441e+14,5.296883e+14,7.062510e+14,4261.2973,3.598,119,24.54,0.9989,fine,A,4.7351,6.0484,512,167,0.327485,355.433549,CO(3-2),9637.5488,8355.402,star,17.704,2.479,13.809,512,20260825,False,False,
hd92945,hd92945,7,A002_Xbbadbe_X3846,21.5085,356.134630,357.869005,15625000.0000,1734375000.0,3320.35,549,0.35789,1.78951,1.547699e+15,3.095397e+15,4.127196e+15,4284.0218,3.598,5,0.9104,1.0000,coarse,B,2.4023,4.8333,512,430,0.840156,357.275255,CO(3-2),11479.2546,9952.093,star,17.610,2.465,13.736,512,20260825,False,False,
WD2039-202,WD2039-202,6,A002_Xe539c7_X113b1,21.7709,223.085938,224.914062,15625000.0000,1828125000.0,616.90,306,0.30971,1.54857,1.372182e+15,2.744364e+15,3.659152e+15,2688.0000,3.598,2,0.1061,1.0000,coarse,B,3.2132,4.2378,512,39,0.077973,224.101562,13CO(2-1),3702.5625,5036.322,star,28.066,3.929,21.891,512,20260825,False,False,
WD2039-202,WD2039-202,6,A002_Xe539c7_X113b1,21.7709,225.085938,226.914062,15625000.0000,1828125000.0,616.90,306,0.29218,1.46090,1.294497e+15,2.588995e+15,3.451993e+15,2712.0000,3.598,2,0.1071,1.0000,coarse,B,2.4663,4.1769,512,275,0.538012,226.414062,CO(2-1),-4123.9375,-5362.783,star,27.817,3.894,21.698,512,20260825,False,False,
WD2039-202,WD2039-202,6,A002_Xe539c7_X113b1,21.7709,239.085938,240.914063,15625000.0000,1828125000.0,616.90,306,0.31849,1.59248,1.411090e+15,2.822180e+15,3.762907e+15,2880.0000,3.598,2,0.1137,1.0000,coarse,B,1.9552,4.2687,512,487,0.951267,240.648438,CS(5-4),-4287.5625,-5247.815,star,26.195,3.667,20.432,512,20260825,False,False,
